County_Name,State,State_Index,NUM_POP_2014,PER_POP_Change,PER_Female,PER_White_Only,PER_Black,PER_Native_American,PER_Asian,PER_Pacific_Islander,Per_Multiracial,PER_Hispanic,PER_Color,PER_Same_Residence,PER_Foreign_Born,PER_DIFF_Age_Groups,PER_Veterans,PER_EDU_High_School,PER_EDU_College,NUM_Mean_Work_Travel_Time,PER_Homeownership,PER_Apartments,NUM_House_Value,NUM_Person_In_Households,NUM_INC_Per_Capita,NUM_INC_Median_Household,PER_Below_Poverty,PER_Not_Farm_Employment_Change,NUM_Firms_Per_Capita,PER_Firms_Color,PER_Firms_Women,PER_Merchant_Sales_Per_Capita,PER_Retail_Sales_Per_Capita,PER_Food_Sales_Per_Capita,NUM_Sales_Per_Capita,NUM_Building_Permits,NUM_Land_Area,NUM_Pop_Per_Area,PER_Voters,PER_Vote_Diff,Win_Strength,Party_Winner
Autauga County,AL,7,55395,1.5,51.4,75.6,18.7,0.5,1.1,0.1,1.8,2.7,24.900000000000002,85.0,3.5,11.399999999999999,10.690495532087734,85.6,20.9,26.2,76.8,8.3,136200,2.71,24571,53682,12.1,2.1,0.07341817853596895,17.2,31.7,0.0,10.798357252459608,1.5914252188825706,12.389782471342178,131,594.44,91.8,44.518458344615944,-49.4789343497,-1,-1
Baldwin County,AL,7,200111,9.8,51.2,83.0,9.6,0.7,0.9,0.1,1.6,4.6,17.5,82.1,5.5,3.5,9.667634462873105,89.1,27.7,25.9,72.6,24.4,168600,2.52,26766,50221,13.9,3.7,0.09512220717501786,5.3999999999999995,27.3,0.0,14.824217559254613,2.1835631224670307,17.007780681721645,1384,1589.78,114.6,47.01890450799806,-57.7861621851,-2,-1
Barbour County,AL,7,26887,-2.1,46.6,46.6,47.6,0.6,0.5,0.2,0.9,4.5,54.300000000000004,84.8,5.0,4.699999999999999,7.884851415182058,73.7,13.4,24.6,67.7,10.6,89200,2.66,16829,32911,26.7,-5.6,0.06200022315617213,0.0,27.0,0.0,7.004760665005393,0.0,7.004760665005393,8,884.88,31.0,38.643210473463014,-5.611164581299999,0,-1
Bibb County,AL,7,22506,-1.8,45.9,74.5,22.1,0.4,0.2,0.1,0.9,2.1,25.8,86.6,2.1,6.199999999999999,5.896205456322758,77.5,12.1,27.6,79.0,7.3,90500,3.03,17427,36447,18.1,7.5,0.06153914511685773,14.9,0.0,0.0,5.541055718475073,0.47796143250688705,6.01901715098196,19,622.58,36.8,38.869634764062916,-55.54412437129999,-2,-1
Blount County,AL,7,57719,0.7,50.5,87.8,1.8,0.6,0.3,0.1,1.2,8.7,12.7,88.7,7.3,6.600000000000001,7.865694138845094,77.0,12.1,33.9,81.0,4.5,117100,2.7,20730,44145,15.8,3.4,0.07723626535456263,0.0,23.2,0.0,5.538904000415807,0.3628094734836016,5.9017134738994095,3,644.78,88.9,43.97858590758676,-81.38197289634,-2,-1
Bullock County,AL,7,10764,-1.4,45.3,22.1,70.1,0.8,0.3,0.7,1.1,7.5,80.49999999999999,84.7,5.2,6.499999999999998,5.908584169453735,67.8,12.5,26.9,74.3,8.7,70600,2.73,18628,32033,21.6,0.0,0.03874024526198439,0.0,38.8,0.0,4.070048309178744,0.3409513192121888,4.4109996283909325,1,622.81,17.5,43.67335562987737,50.8615188257,2,1
Butler County,AL,7,20296,-3.1,53.6,53.1,44.0,0.4,0.9,0.0,0.8,1.2,47.3,94.6,1.7,5.600000000000001,7.375837603468664,76.3,14.0,24.0,70.3,13.3,74700,2.47,17403,29918,28.4,2.7,0.08716003153330705,3.3,0.0,2.7942451714623573,11.2966594402838,1.4006208119826566,15.491525423728813,2,776.83,27.0,42.791683090264094,-13.529073114500001,0,-1
Calhoun County,AL,7,115916,-2.3,51.8,72.9,21.1,0.5,0.9,0.1,1.7,3.5,27.8,83.6,4.5,6.199999999999999,9.821767486800788,78.6,16.1,22.5,68.7,13.8,100600,2.54,20828,39962,21.9,0.6,0.07516649987922289,9.3,24.7,0.0,13.311199489285345,1.6092083922840679,14.920407881569412,114,605.87,195.7,40.870975534007385,-41.383823032799995,-1,-1
Chambers County,AL,7,34076,-0.3,52.3,56.8,39.5,0.3,0.8,0.1,1.1,2.0,43.8,85.8,1.3,3.099999999999998,7.89705364479399,75.1,11.8,24.6,67.9,11.1,81200,2.46,19291,32402,24.1,-0.2,0.05813475760065735,0.0,29.3,0.0,7.7664631999060925,0.68191689165395,8.448380091560042,8,596.53,57.4,40.43314943068435,-14.806212803000008,0,-1
Cherokee County,AL,7,26037,0.2,50.2,91.6,4.6,0.5,0.3,0.0,1.6,1.5,8.5,90.6,1.1,-0.5,8.349656258401506,78.3,12.8,26.9,76.1,4.6,99400,2.2,22030,34907,21.2,5.5,0.08372700387909514,0.0,14.5,2.392479932403887,7.156008756769213,0.5356991972961554,10.084187886469255,2,553.7,46.9,40.33874870376771,-69.36113491379999,-2,-1
Chilton County,AL,7,43931,0.7,50.8,80.3,10.6,0.5,0.4,0.2,1.2,7.7,20.599999999999998,88.8,7.4,9.0,7.529990211923243,76.0,12.9,31.8,74.5,4.1,102600,2.67,20701,41250,19.5,8.8,0.0,0.0,0.0,3.5314242789829504,8.192620245384807,0.7756026496096151,12.499647173977374,78,692.85,63.0,41.55380027770823,-66.606409203,-2,-1
Choctaw County,AL,7,13323,-3.9,52.5,56.1,42.4,0.2,0.3,0.0,0.5,0.8,44.199999999999996,91.4,1.3,-0.1999999999999993,7.040456353674098,75.2,11.8,33.4,83.7,4.0,58200,2.45,20323,33941,21.5,1.4,0.08271410343015838,26.2,44.1,3.9708774300082563,6.352398108534114,0.8515349395781731,11.174810478120543,0,913.5,15.2,54.55227801546199,-13.662630710000007,0,-1
Clarke County,AL,7,24945,-3.5,52.8,53.1,44.2,0.4,0.5,0.0,0.8,1.3,47.199999999999996,92.5,1.3,4.600000000000001,6.345961114451794,78.3,11.2,25.5,72.9,6.8,85600,2.63,18979,29357,29.3,3.7,0.09516937261976348,0.0,28.6,3.4396873120865905,13.80280617358188,0.9459210262577671,18.188414511926236,11,1238.47,20.9,51.85808779314491,-10.799319727899997,0,-1
Clay County,AL,7,13552,-2.7,50.6,79.7,14.5,0.6,0.3,0.0,1.8,3.4,20.599999999999998,88.3,3.3,2.200000000000003,7.9397874852420305,76.5,9.2,30.7,75.0,10.0,79900,2.38,18694,34002,19.0,4.6,0.07415879574970484,0.0,0.0,0.0,5.2064639905549,0.32113341204250295,5.527597402597403,0,603.96,23.1,48.49468713105077,-60.80340839930001,-2,-1
Cleburne County,AL,7,15080,0.7,50.4,92.3,3.6,0.4,0.2,0.1,1.2,2.5,8.0,89.1,2.3,4.900000000000002,6.558355437665782,76.0,9.0,31.4,77.6,6.3,100800,2.64,19108,38019,18.4,-4.8,0.08488063660477453,0.0,17.7,0.3904509283819629,8.84661803713528,0.27413793103448275,9.511206896551725,1,560.1,26.7,43.315649867374006,-77.3729332517,-2,-1
